id,text,datetime,geo,predicted,tag
263067740275884032,would it be a bad idea to go out behind my apartment building to take a picture of the damage,2012-10-30 00:00:11,"{'type': 'Point', 'coordinates': [40.77271571, -73.9456303]}",1.0,1.0
263067754062561280,just found out a 3 ways out of sewaren are flooded out and closed. trapped but its all good i have power and direct tv,2012-10-30 00:00:14,"{'type': 'Point', 'coordinates': [40.55029391, -74.25708331]}",1.0,1.0
263067794797645824,"old saybrook high school shelter, by the numbers: 267 people including 50 from apple rehab nursing home, 20 dogs, 13 cats. no exotics.",2012-10-30 00:00:24,"{'type': 'Point', 'coordinates': [41.28767717, -72.39747687]}",1.0,1.0
263067801693081600,sooo not fond of  #hurricanesandy w/ her negatory vibes #flooding #poweroutage annnd to 1self flamin unnecessary #chinesefoodbaby  x,2012-10-30 00:00:26,"{'type': 'Point', 'coordinates': [40.74817538, -73.97527531]}",1.0,1.0
263067814573780960,my hood is flooded.  @ home sweet hoboken,2012-10-30 00:00:29,"{'type': 'Point', 'coordinates': [40.73788614, -74.0358876]}",1.0,1.0
263067907662151680,avenue c is flooding,2012-10-30 00:00:51,"{'type': 'Point', 'coordinates': [40.72167997, -73.98408174]}",1.0,1.0
263067926934994912,@twc_hurricane: cars under water in #nyc at ave. c and 14th st.  thx to jordanf05 for that photo:,2012-10-30 00:00:56,"{'type': 'Point', 'coordinates': [34.80823472, -77.38609437]}",1.0,1.0
263067976549416960,just lost power #hurricanesandy,2012-10-30 00:01:07,"{'type': 'Point', 'coordinates': [42.4272801, -72.510261]}",1.0,1.0
263068141406527488,nyc hurricane evacuation zones,2012-10-30 00:01:47,"{'type': 'Point', 'coordinates': [40.8807669, -74.1315362]}",1.0,1.0
263068177188139008,totally flooded on the corner of jersey and grand - in less than a half @ brownstone diner amp pancake factory,2012-10-30 00:01:55,"{'type': 'Point', 'coordinates': [40.71667192, -74.04861331]}",1.0,1.0
263068200269385664,@statikselekt: westside highway is flooded from 42nd down to 29th #endofdays fdr too,2012-10-30 00:02:01,"{'type': 'Point', 'coordinates': [40.73866775, -73.97361933]}",1.0,1.0
263068204518232064,@mintoinc fire nearby from sandy,2012-10-30 00:02:02,"{'type': 'Point', 'coordinates': [40.52790585, -74.207241]}",1.0,1.0
263068219676450816,so glad that building collapse was an empty building,2012-10-30 00:02:05,"{'type': 'Point', 'coordinates': [40.82839355, -73.94364741]}",1.0,1.0
263068225095491584,omg the building is shaking #frankenstorm #sandy w/ @anth922,2012-10-30 00:02:07,,1.0,1.0
263068226412498912,belt parkway bay 8th exit flooded. #hurricanesandy #brooklyn,2012-10-30 00:02:07,"{'type': 'Point', 'coordinates': [40.60368395, -74.01831346]}",1.0,1.0
